201201030000,29.0,29.0,29.0,29.0,32.22,1.1,-4.7,-0.2,329.1,-380.9,329.1,-380.9
201201030100,25.54,25.54,25.54,25.54,31.37,1.8,-4.7,0.5,259.4,-450.6,259.4,-450.6
201201030200,22.96,22.96,22.96,22.96,31.37,2.0,-4.6,1.3,252.7,-457.3,252.7,-457.3
201201030300,22.93,22.93,22.93,22.93,31.37,2.7,-4.4,1.8,223.2,-486.8,223.2,-486.8
201201030400,24.53,24.53,24.53,24.53,31.37,3.3,-4.3,1.9,227.9,-482.1,227.9,-482.1
201201030500,29.01,29.01,29.01,29.01,30.36,3.1,-4.2,1.9,307.3,-402.7,307.3,-402.7
201201030600,32.22,32.22,32.22,32.22,32.22,0.6,-4.0,1.6,274.7,-435.3,274.7,-435.3
201201030700,33.29,33.29,33.29,33.29,33.29,0.5,-4.5,1.9,309.5,-400.5,309.5,-400.5
201201030800,33.7,33.7,33.7,30.1,33.7,1.0,-4.4,2.2,303.5,-406.5,303.5,-406.5
201201030900,33.47,33.47,33.47,26.89,33.47,2.0,-4.3,1.9,276.1,-433.9,276.1,-433.9
201201031000,33.46,33.46,33.46,26.89,33.46,2.1,-4.2,1.9,290.6,-419.4,290.6,-419.4
201201031100,33.39,33.39,33.39,28.8,33.39,2.3,-4.0,1.7,128.5,-581.5,128.5,-581.5
201201031200,33.41,33.41,33.41,28.8,33.41,2.3,-3.9,1.7,133.5,-576.5,133.5,-576.5
201201031300,33.45,33.45,33.45,28.36,33.45,1.3,-3.8,1.6,137.8,-572.2,137.8,-572.2
201201031400,33.44,33.44,33.44,33.44,33.6,0.9,-3.7,1.5,213.3,-496.7,213.3,-496.7
201201031500,33.73,33.73,33.73,33.73,36.09,0.2,-3.7,1.5,281.1,-428.9,281.1,-428.9
201201031600,33.96,33.96,33.96,33.96,37.38,-0.2,-3.5,1.4,190.4,-519.6,190.4,-519.6
201201031700,33.8,33.8,33.8,33.8,35.03,-0.3,-3.4,1.0,155.4,-554.6,155.4,-554.6
201201031800,33.6,33.6,33.6,33.6,35.03,1.0,-3.2,0.9,153.1,-556.9,153.1,-556.9
201201031900,33.06,33.06,33.06,33.06,33.06,1.4,-3.0,1.3,355.1,-354.9,355.1,-354.9
201201032000,32.15,32.15,32.15,32.15,32.15,1.2,-2.9,1.4,233.0,-477.0,233.0,-477.0
201201032100,30.53,30.53,30.53,30.53,30.53,1.0,-2.8,0.9,240.2,-469.8,240.2,-469.8
201201032200,28.86,28.86,28.86,28.86,28.86,1.0,-2.7,0.1,249.0,-461.0,249.0,-461.0
201201032300,24.39,24.39,24.39,24.39,24.39,0.9,-2.7,-0.3,349.1,-360.9,319.1,-390.9
201201040000,22.87,22.87,22.87,22.87,31.02,0.6,-2.7,-0.2,357.3,-352.7,327.3,-382.7
201201040100,22.72,22.72,22.72,22.72,32.32,0.7,-2.7,0.0,344.4,-365.6,294.4,-415.6
201201040200,22.22,22.22,22.22,22.22,32.32,0.6,-2.8,0.2,368.9,-341.1,328.9,-381.1
201201040300,22.44,22.44,22.44,22.44,31.02,0.4,-2.9,0.2,332.1,-377.9,282.1,-427.9
201201040400,24.1,24.1,24.1,24.1,31.02,0.3,-3.2,0.2,81.0,-629.0,81.0,-629.0
201201040500,25.66,25.66,25.66,25.66,31.02,0.2,-3.5,0.2,256.3,-453.7,256.3,-453.7
201201040600,28.8,28.8,28.8,28.8,31.02,0.5,-3.1,0.6,222.7,-487.3,222.7,-487.3
201201040700,36.91,31.61,31.61,36.91,37.49,0.4,-3.2,0.0,265.2,-444.8,265.2,-444.8
201201040800,32.95,32.95,32.95,32.95,37.49,1.3,-3.3,0.0,244.8,-465.2,244.8,-465.2
201201040900,32.88,32.88,32.88,32.35,33.69,2.0,-3.5,0.0,297.9,-412.1,297.9,-412.1
201201041000,33.18,33.18,33.18,33.18,38.78,2.8,-3.6,0.0,324.8,-385.2,324.8,-385.2
201201041100,33.26,33.26,33.26,33.26,38.78,2.7,-3.8,0.1,316.8,-393.2,316.8,-393.2
201201041200,33.05,33.05,33.05,33.05,37.49,2.8,-4.0,0.1,316.8,-393.2,316.8,-393.2
201201041300,33.07,33.07,33.07,33.07,33.07,2.9,-4.6,0.2,295.5,-414.5,295.5,-414.5
201201041400,33.34,33.34,33.34,33.34,33.34,3.0,-4.8,0.3,265.6,-444.4,265.6,-444.4
201201041500,36.9,33.51,33.51,36.9,60.0,2.9,-4.8,0.4,245.9,-464.1,245.9,-464.1
201201041600,35.38,33.86,33.86,35.38,45.0,2.9,-4.6,0.4,273.6,-436.4,273.6,-436.4
201201041700,34.3,33.96,33.96,34.3,34.3,2.8,-4.4,0.4,257.1,-452.9,257.1,-452.9
201201041800,35.3,33.7,33.7,35.3,45.0,2.8,-4.3,0.4,186.6,-523.4,186.6,-523.4
201201041900,35.01,33.24,33.24,35.01,36.3,3.2,-4.3,0.4,260.0,-450.0,260.0,-450.0
201201042000,32.52,32.52,32.52,32.52,35.94,2.8,-4.4,0.5,300.3,-409.7,300.3,-409.7
201201042100,31.96,31.5,31.5,31.96,31.96,2.5,-4.5,0.5,232.8,-477.2,232.8,-477.2
201201042200,30.57,30.57,30.57,30.57,30.57,2.4,-4.4,0.5,415.7,-294.3,415.7,-294.3
201201042300,27.12,27.12,27.12,27.12,27.12,2.2,-4.3,0.4,385.6,-324.4,385.6,-324.4
201201050000,28.09,28.09,28.09,25.3,28.09,1.8,-4.3,0.5,393.9,-316.1,393.9,-316.1
201201050100,27.21,27.21,27.21,18.16,27.21,1.4,-4.3,0.4,407.3,-302.7,407.3,-302.7
201201050200,27.14,27.14,27.14,18.16,27.14,0.7,-4.3,0.4,399.4,-310.6,399.4,-310.6
201201050300,27.42,27.42,27.42,20.11,27.42,0.7,-4.3,0.4,327.3,-382.7,327.3,-382.7
201201050400,28.27,28.27,28.27,25.87,28.27,0.9,-4.3,0.4,468.1,-241.9,468.1,-241.9
201201050500,38.5,28.6,28.6,25.87,38.5,0.9,-4.3,0.5,515.3,-194.7,515.3,-194.7
201201050600,45.57,30.18,30.18,45.57,45.57,1.3,-4.3,0.0,437.6,-272.4,437.6,-272.4
201201050700,40.08,33.28,33.28,40.08,40.08,0.6,-4.3,0.1,302.0,-408.0,302.0,-408.0
201201050800,35.19,35.05,35.05,35.19,36.0,0.4,-4.2,0.0,250.1,-459.9,250.1,-459.9
201201050900,35.2,35.2,35.2,35.2,35.2,0.5,-4.1,0.0,260.8,-449.2,260.8,-449.2
201201051000,35.69,35.69,35.69,35.69,36.8,0.9,-4.0,-0.1,287.6,-422.4,287.6,-422.4
201201051100,35.63,35.63,35.63,35.63,37.3,1.4,-3.9,-0.2,249.6,-460.4,249.6,-460.4
201201051200,35.08,35.08,35.08,35.08,36.97,1.7,-3.8,-0.3,257.5,-452.5,257.5,-452.5
201201051300,34.8,34.8,34.8,34.8,36.71,2.0,-3.8,-0.4,234.7,-475.3,234.7,-475.3
201201051400,35.28,35.28,35.28,35.28,36.71,2.2,-3.8,-0.4,181.6,-528.4,181.6,-528.4
201201051500,39.83,36.17,36.17,39.83,39.83,2.0,-3.7,-0.4,277.2,-432.8,277.2,-432.8
201201051600,40.07,37.52,37.52,40.07,40.07,1.2,-3.5,-0.5,250.4,-459.6,250.4,-459.6
201201051700,40.02,38.3,38.3,40.02,40.02,1.3,-3.4,-0.7,258.1,-451.9,258.1,-451.9
201201051800,37.48,34.97,34.97,37.48,38.27,1.5,-3.3,-0.9,272.1,-437.9,272.1,-437.9
201201051900,35.92,33.86,33.86,35.92,35.92,1.7,-3.2,-1.0,193.5,-516.5,193.5,-516.5
201201052000,33.09,33.09,33.09,33.09,33.75,1.6,-3.1,-1.3,371.3,-338.7,371.3,-338.7
201201052100,32.45,31.26,31.26,32.45,33.0,1.3,-3.0,-1.7,402.8,-307.2,402.8,-307.2
201201052200,29.56,29.56,29.56,29.56,32.9,1.2,-3.0,-2.1,219.1,-490.9,219.1,-490.9
201201052300,28.62,28.62,28.62,28.62,31.5,1.1,-3.0,-2.4,184.6,-525.4,184.6,-525.4
201201060000,28.79,28.79,28.79,28.79,28.79,1.0,-3.1,-2.7,164.1,-545.9,164.1,-545.9
